Juma Ventures
Budget Income Statement for Custom Record
From Jan 2018 to Dec 2018

Options: Activity Only
Financial Row ,Account (Line): Internal ID ,Account (Line): Account Type ,Department: Name ,Location: Name ,Jan 2018 ,Feb 2018 ,Mar 2018 ,Apr 2018 ,May 2018 ,Jun 2018 ,Jul 2018 ,Aug 2018 ,Sep 2018 ,Oct 2018 ,Nov 2018 ,Dec 2018 ,Total 
,476,Income,ENT,Golden 1 Center,"$13,773.38","$16,939.13","$27,688.50","$3,661.88","$1,512.00","$1,890.00","$2,646.00","$1,890.00","$6,189.75","$13,395.38","$16,939.13","$15,167.25","$121,692.40"
,476,Income,ENT,HOU,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,142.40","$3,427.20","$2,284.80","$2,284.80","$9,139.20"
,476,Income,ENT,Levi's Stadium,$0.00,$0.00,$0.00,$0.00,"$1,080.00","$1,080.00","$1,080.00","$3,510.00","$5,130.00","$4,050.00","$2,700.00","$2,700.00","$21,330.00"
,476,Income,ENT,MBenz Stadium,"$11,430.00",$0.00,"$7,920.00","$5,940.00","$7,920.00","$5,940.00","$3,960.00","$18,540.00","$10,260.00","$8,280.00","$8,280.00","$10,260.00","$98,730.00"
,476,Income,ENT,NOLA,$0.00,$0.00,$0.00,"$9,900.00","$13,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$23,100.00"
,476,Income,ENT,New Orleans Arena,"$27,000.00","$27,000.00","$27,000.00","$27,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$18,000.00","$27,000.00","$27,000.00","$195,000.00"
,476,Income,ENT,SAC,$0.00,$0.00,$0.00,"$2,137.00","$2,638.50","$6,035.50","$4,909.00","$5,977.50","$6,413.50","$1,890.00",$0.00,$0.00,"$30,001.00"
,476,Income,ENT,SC,$0.00,$0.00,$0.00,$0.00,"$2,000.00","$1,000.00","$2,000.00","$5,000.00","$6,500.00","$6,000.00","$6,000.00","$4,500.00","$33,000.00"
,476,Income,ENT,Safeco Field,$0.00,$0.00,$0.00,"$14,812.50","$14,812.50","$13,825.00","$7,900.00","$14,812.50","$13,825.00",$0.00,$0.00,$0.00,"$79,987.50"
,476,Income,ENT,SunTrust Park,$0.00,$0.00,$0.00,"$27,982.50","$23,318.75","$30,314.38","$27,982.50","$37,310.00","$39,641.88","$2,331.88",$0.00,$0.00,"$188,881.89"
,476,Income,ENT,Superdome,"$11,250.00","$3,750.00","$3,750.00",$0.00,$0.00,$0.00,"$3,750.00","$7,500.00","$7,500.00","$15,000.00","$11,250.00","$15,000.00","$78,750.00"
,476,Income,ENT,Toyota Center,"$21,000.00","$12,000.00","$26,250.00","$11,250.00","$2,250.00","$2,250.00",$0.00,$0.00,$0.00,"$15,000.00","$26,250.00","$24,000.00","$140,250.00"
Total - 5120 - Staffing Services,,,,,"$126,789.38","$94,425.13","$165,206.50","$200,086.13","$128,956.00","$144,009.38","$140,861.00","$185,516.50","$197,473.28","$143,098.71","$151,250.43","$151,728.55","$1,829,400.99"
Total - 5100 - Revenue from program-related sales & fees,,,,,"$126,789.38","$94,425.13","$165,206.50","$392,366.13","$270,836.00","$344,409.38","$292,141.00","$405,876.50","$460,193.28","$234,898.71","$212,450.43","$182,128.55","$3,181,720.99"
Total - Income,,,,,"$126,789.38","$94,425.13","$165,206.50","$392,366.13","$270,836.00","$344,409.38","$292,141.00","$405,876.50","$460,193.28","$234,898.71","$212,450.43","$182,128.55","$3,181,720.99"
Cost Of Sales,,,,,,,,,,,,,,,,,
6000 - Cost of Goods Sold,,,,,,,,,,,,,,,,,
6100 - Cost of Goods Sold,,,,,,,,,,,,,,,,,
,111,COGS,ENT,AT&T Park,$0.00,$0.00,$0.00,"$20,345.60","$9,397.60","$20,168.80","$16,755.20","$17,775.20","$17,775.20",$0.00,$0.00,$0.00,"$102,217.60"
,111,COGS,ENT,Levi's Stadium,$0.00,$0.00,$0.00,$0.00,"$3,220.00","$3,220.00","$3,220.00","$9,936.00","$13,708.00","$10,488.00","$6,992.00","$6,992.00","$57,776.00"
,111,COGS,ENT,Safeco Field,$0.00,$0.00,$0.00,"$15,246.00","$15,246.00","$14,229.60","$8,131.20","$15,246.00","$14,229.60",$0.00,$0.00,$0.00,"$82,328.40"
,111,COGS,ENT,UW,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,160.00","$9,240.00","$6,160.00",$0.00,"$21,560.00"
Total - 6100 - Cost of Goods Sold,,,,,$0.00,$0.00,$0.00,"$35,591.60","$27,863.60","$37,618.40","$28,106.40","$42,957.20","$51,872.80","$19,728.00","$13,152.00","$6,992.00","$263,882.00"
Total - 6000 - Cost of Goods Sold,,,,,$0.00,$0.00,$0.00,"$35,591.60","$27,863.60","$37,618.40","$28,106.40","$42,957.20","$51,872.80","$19,728.00","$13,152.00","$6,992.00","$263,882.00"
Total - Cost Of Sales,,,,,$0.00,$0.00,$0.00,"$35,591.60","$27,863.60","$37,618.40","$28,106.40","$42,957.20","$51,872.80","$19,728.00","$13,152.00","$6,992.00","$263,882.00"
Gross Profit,,,,,"$126,789.38","$94,425.13","$165,206.50","$356,774.53","$242,972.40","$306,790.98","$264,034.60","$362,919.30","$408,320.48","$215,170.71","$199,298.43","$175,136.55","$2,917,838.99"
Expense,,,,,,,,,,,,,,,,,
7000 - Salaries & related expenses,,,,,,,,,,,,,,,,,
7200 - Staff,,,,,,,,,,,,,,,,,
7210 - Salaries & wages - support team,,,,,,,,,,,,,,,,,
,330,Expense,ENT,AT&T Park,"$1,343.19","$1,343.19","$1,343.19","$1,343.19","$2,014.79","$1,343.19","$1,343.19","$1,343.19","$1,343.19","$1,343.19","$2,014.79","$1,343.19","$17,461.48"
,330,Expense,DEV,ATL,"$3,327.69","$3,327.69","$3,327.69","$3,327.69","$4,991.53","$3,327.69","$3,327.69","$3,327.69","$3,327.69","$3,327.69","$4,991.53","$3,327.69","$43,259.96"
,330,Expense,ENT,ATL,"$1,141.00","$1,141.00","$1,141.00","$1,141.00","$1,711.50","$1,141.00","$1,141.00","$1,141.00","$1,141.00","$1,141.00","$1,711.50","$1,141.00","$14,833.00"
,330,Expense,YouthConnect,ATL,"$2,152.50","$2,152.50","$2,152.50","$2,861.21","$4,291.81","$2,861.21","$2,861.21","$2,861.21","$2,861.21","$2,861.21","$4,291.81","$2,861.21","$35,069.59"
,330,Expense,ENT,Coliseum,"$1,343.19","$1,343.19","$1,343.19","$1,343.19","$2,014.79","$1,343.19","$1,343.19","$1,343.19","$1,343.19","$1,343.19","$2,014.79","$1,343.19","$17,461.48"
,330,Expense,ENT,DAL,$488.65,$488.65,$488.65,$488.65,$732.98,$488.65,$488.65,$488.65,$488.65,$488.65,$732.98,$488.65,"$6,352.46"
,330,Expense,YouthConnect,DAL,$488.65,$488.65,$488.65,$994.88,"$1,492.31",$994.88,$994.88,$994.88,$994.88,$994.88,"$1,492.31",$994.88,"$11,414.73"
,330,Expense,DEV,HOU,"$3,000.00","$3,000.00","$3,000.00","$3,000.00","$4,500.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$4,500.00","$3,000.00","$39,000.00"
,330,Expense,ENT,HOU,$988.65,$988.65,$988.65,$988.65,"$1,482.98",$988.65,$988.65,$988.65,$988.65,$988.65,"$1,482.98",$988.65,"$12,852.46"
,330,Expense,YouthConnect,HOU,"$1,988.65","$1,988.65","$1,988.65","$2,494.88","$3,742.31","$2,494.88","$2,494.88","$2,494.88","$2,494.88","$2,494.88","$3,742.31","$2,494.88","$30,914.73"
,330,Expense,ADM,HQ,"$33,853.09","$33,853.09","$33,853.09","$35,877.98","$53,816.96","$35,877.98","$35,877.98","$35,877.98","$35,877.98","$35,877.98","$53,816.96","$35,877.98","$460,339.05"
,330,Expense,DEV,HQ,"$41,451.56","$41,451.56","$41,451.56","$41,451.56","$62,177.33","$41,451.56","$41,451.56","$41,451.56","$41,451.56","$41,451.56","$62,177.33","$41,451.56","$538,870.26"
,330,Expense,MKT,HQ,"$10,301.69","$10,301.69","$10,301.69","$10,301.69","$15,452.54","$10,301.69","$10,301.69","$10,301.69","$10,301.69","$10,301.69","$15,452.54","$10,301.69","$133,921.98"
,330,Expense,Major Donor,HQ,"$4,615.42","$4,615.42","$4,615.42","$4,615.42","$6,923.13","$4,615.42","$4,615.42","$4,615.42","$4,615.42","$4,615.42","$6,923.13","$4,615.42","$60,000.46"
,330,Expense,REP,HQ,"$6,830.12","$6,830.12","$6,830.12","$7,842.56","$11,763.84","$7,842.56","$7,842.56","$7,842.56","$7,842.56","$7,842.56","$11,763.84","$7,842.56","$98,915.96"
,330,Expense,DEV,NOLA,"$2,553.78","$2,553.78","$2,553.78","$2,553.78","$3,830.67","$2,553.78","$2,553.78","$2,553.78","$2,553.78","$2,553.78","$3,830.67","$2,553.78","$33,199.14"
,330,Expense,ENT,NOLA,$914.28,$914.28,$914.28,$914.28,"$1,371.43",$914.28,$914.28,$914.28,$914.28,$914.28,"$1,371.43",$914.28,"$11,885.66"
,330,Expense,YouthConnect,NOLA,"$1,765.55","$1,765.55","$1,765.55","$2,170.52","$3,255.78","$2,170.52","$2,170.52","$2,170.52","$2,170.52","$2,170.52","$3,255.78","$2,170.52","$27,001.85"
,330,Expense,Pathways,OAK,$525.00,$525.00,$525.00,$828.73,"$1,243.10",$828.73,$828.73,$828.73,$828.73,$828.73,"$1,243.10",$828.73,"$9,862.31"
,330,Expense,YouthConnect,OAK,"$1,276.15","$1,276.15","$1,276.15","$1,782.38","$2,673.56","$1,782.38","$1,782.38","$1,782.38","$1,782.38","$1,782.38","$2,673.56","$1,782.38","$21,652.23"
,330,Expense,DEV,SAC,"$3,000.00","$3,000.00","$3,000.00","$3,000.00","$4,500.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$4,500.00","$3,000.00","$39,000.00"
,330,Expense,ENT,SAC,"$1,086.38","$1,086.38","$1,086.38","$1,086.38","$1,629.58","$1,086.38","$1,086.38","$1,086.38","$1,086.38","$1,086.38","$1,629.58","$1,086.38","$14,122.96"
,330,Expense,YouthConnect,SAC,"$1,988.65","$1,988.65","$1,988.65","$2,494.88","$3,742.31","$2,494.88","$2,494.88","$2,494.88","$2,494.88","$2,494.88","$3,742.31","$2,494.88","$30,914.73"
,330,Expense,DEV,SC,$0.00,"$4,153.85","$4,153.85","$4,153.85","$6,230.77","$4,153.85","$4,153.85","$4,153.85","$4,153.85","$4,153.85","$6,230.77","$4,153.85","$49,846.19"
,330,Expense,ENT,SC,$488.65,"$1,180.96","$1,180.96","$1,180.96","$1,771.44","$1,180.96","$1,180.96","$1,180.96","$1,180.96","$1,180.96","$1,771.44","$1,180.96","$14,660.17"
,330,Expense,Pathways,SC,$787.50,"$1,479.81","$1,479.81","$1,986.03","$2,979.04","$1,986.03","$1,986.03","$1,986.03","$1,986.03","$1,986.03","$2,979.04","$1,986.03","$23,607.41"
,330,Expense,YouthConnect,SC,$684.12,"$2,068.73","$2,068.73","$2,777.44","$4,166.16","$2,777.44","$2,777.44","$2,777.44","$2,777.44","$2,777.44","$4,166.16","$2,777.44","$32,595.98"
,330,Expense,DEV,SEA,"$7,450.48","$7,450.48","$7,450.48","$7,450.48","$11,175.72","$7,450.48","$7,450.48","$7,450.48","$7,450.48","$7,450.48","$11,175.72","$7,450.48","$96,856.24"
,330,Expense,ENT,SEA,$916.33,$916.33,$916.33,$916.33,"$1,374.49",$916.33,$916.33,$916.33,$916.33,$916.33,"$1,374.49",$916.33,"$11,912.28"
,330,Expense,Pathways,SEA,$720.87,$720.87,$720.87,"$1,024.60","$1,536.90","$1,024.60","$1,024.60","$1,024.60","$1,024.60","$1,024.60","$1,536.90","$1,024.60","$12,408.61"
,330,Expense,YouthConnect,SEA,"$2,651.25","$2,651.25","$2,651.25","$2,853.74","$4,280.61","$2,853.74","$2,853.74","$2,853.74","$2,853.74","$2,853.74","$4,280.61","$2,853.74","$36,491.15"
,330,Expense,EXEC,SF,"$3,669.62","$3,669.62","$3,669.62","$4,682.06","$7,023.09","$4,682.06","$4,682.06","$4,682.06","$4,682.06","$4,682.06","$7,023.09","$4,682.06","$57,829.46"
,330,Expense,Pathways,SF,$262.50,$262.50,$262.50,$667.48,"$1,001.22",$667.48,$667.48,$667.48,$667.48,$667.48,"$1,001.22",$667.48,"$7,462.30"
,330,Expense,YouthConnect,SF,"$1,276.15","$1,276.15","$1,276.15","$1,782.38","$2,673.56","$1,782.38","$1,782.38","$1,782.38","$1,782.38","$1,782.38","$2,673.56","$1,782.38","$21,652.23"
Total - 7210 - Salaries & wages - support team,,,,,"$145,331.31","$152,254.39","$152,254.39","$162,378.85","$243,568.23","$162,378.85","$162,378.85","$162,378.85","$162,378.85","$162,378.85","$243,568.23","$162,378.85","$2,073,628.50"
7240 - Salaries & wages - program team,,,,,,,,,,,,,,,,,
,331,Expense,YouthConnect,ATL,"$4,210.77","$4,210.77","$4,210.77","$4,210.77","$6,316.15","$4,210.77","$4,210.77","$4,210.77","$4,210.77","$4,210.77","$6,316.15","$4,210.77","$54,740.00"
,331,Expense,YouthConnect,DAL,$669.23,$669.23,$669.23,$669.23,"$1,003.85",$669.23,$669.23,$669.23,$669.23,$669.23,"$1,003.85",$669.23,"$8,700.00"
,331,Expense,YouthConnect,HOU,$669.23,$669.23,$669.23,$669.23,"$1,003.85",$669.23,$669.23,$669.23,$669.23,$669.23,"$1,003.85",$669.23,"$8,700.00"
,331,Expense,AST,HQ,"$4,230.78","$4,230.78","$4,230.78","$4,230.78","$6,346.16","$4,230.78","$4,230.78","$4,230.78","$4,230.78","$4,230.78","$6,346.16","$4,230.78","$55,000.12"
,331,Expense,LEV,HQ,"$6,076.00","$6,076.00","$6,076.00","$6,076.00","$9,114.00","$6,076.00","$6,076.00","$6,076.00","$6,076.00","$6,076.00","$9,114.00","$6,076.00","$78,988.00"
,331,Expense,REP,HQ,"$6,807.69","$6,807.69","$6,807.69","$6,807.69","$10,211.53","$6,807.69","$6,807.69","$6,807.69","$6,807.69","$6,807.69","$10,211.53","$6,807.69","$88,499.96"
,331,Expense,YouthConnect,NOLA,"$2,996.92","$2,996.92","$2,996.92","$2,996.92","$4,495.38","$2,996.92","$2,996.92","$2,996.92","$2,996.92","$2,996.92","$4,495.38","$2,996.92","$38,959.96"
,331,Expense,Pathways,OAK,"$5,377.69","$5,377.69","$5,377.69","$5,377.69","$8,066.54","$5,377.69","$5,377.69","$5,377.69","$2,157.70","$2,157.70","$3,236.54","$2,157.70","$55,420.01"
,331,Expense,YouthConnect,OAK,"$3,592.30","$3,592.30","$3,592.30","$3,592.30","$5,388.45","$3,592.30","$3,592.30","$3,592.30","$3,592.30","$3,592.30","$5,388.45","$3,592.30","$46,699.90"
,331,Expense,YouthConnect,SAC,"$3,361.54","$3,361.54","$3,361.54","$3,361.54","$5,042.31","$3,361.54","$3,361.54","$3,361.54","$3,361.54","$3,361.54","$5,042.31","$3,361.54","$43,700.02"
,331,Expense,Pathways,SC,$138.46,$138.46,$138.46,$138.46,$207.69,$138.46,$138.46,$138.46,$138.46,$138.46,$207.69,$138.46,"$1,799.98"
,331,Expense,YouthConnect,SC,"$3,860.00","$3,860.00","$3,860.00","$3,860.00","$5,790.00","$3,860.00","$3,860.00","$3,860.00","$3,860.00","$3,860.00","$5,790.00","$3,860.00","$50,180.00"
,331,Expense,Pathways,SEA,"$3,475.66","$3,475.66","$3,475.66","$3,475.66","$5,213.49","$3,475.66","$3,475.66","$3,475.66","$3,475.66","$3,475.66","$5,213.49","$3,475.66","$45,183.58"
,331,Expense,YouthConnect,SEA,"$6,431.17","$6,431.17","$6,431.17","$6,431.17","$9,646.76","$6,431.17","$6,431.17","$6,431.17","$6,431.17","$6,431.17","$9,646.76","$6,431.17","$83,605.22"
,331,Expense,Pathways,SF,"$14,989.04","$14,989.04","$14,989.04","$14,989.04","$22,483.56","$14,989.04","$14,989.04","$14,989.04","$8,350.00","$8,350.00","$12,525.00","$8,350.00","$164,981.84"
,331,Expense,YouthConnect,SF,$669.23,$669.23,"$4,515.38","$4,515.38","$6,773.08","$4,515.38","$4,515.38","$4,515.38","$4,515.38","$4,515.38","$6,773.08","$4,515.38","$51,007.66"
Total - 7240 - Salaries & wages - program team,,,,,"$67,555.71","$67,555.71","$71,401.86","$71,401.86","$107,102.80","$71,401.86","$71,401.86","$71,401.86","$61,542.83","$61,542.83","$92,314.24","$61,542.83","$876,166.25"
7270 - Salaries & wages - enterprise,,,,,,,,,,,,,,,,,
,332,Expense,ENT,AA Center,"$5,000.00","$5,000.00","$5,000.00","$5,000.00","$7,500.00","$5,000.00","$5,000.00","$5,000.00","$5,000.00","$5,000.00","$7,500.00","$5,000.00","$65,000.00"
,332,Expense,ENT,AT&T Park,"$6,970.73","$6,970.73","$6,970.73","$6,970.73","$10,456.09","$6,970.73","$6,970.73","$6,970.73","$6,970.73","$6,970.73","$10,456.09","$6,970.73","$90,619.48"
,332,Expense,ENT,Avaya Stadium,$999.81,$999.81,$999.81,$999.81,"$1,499.72",$999.81,$999.81,$999.81,$999.81,$999.81,"$1,499.72",$999.81,"$12,997.54"
,332,Expense,ENT,BBVA Compass Stadium,"$1,532.86","$1,532.86","$1,532.86","$1,532.86","$2,299.29","$1,532.86","$1,532.86","$1,532.86","$1,532.86","$1,532.86","$2,299.29","$1,532.86","$19,927.18"
,332,Expense,ENT,CenturyLink Field,"$1,016.90","$1,016.90","$1,016.90","$1,016.90","$1,525.34","$1,016.90","$1,016.90","$1,016.90","$1,016.90","$1,016.90","$1,525.34","$1,016.90","$13,219.68"
,332,Expense,ENT,Coliseum,"$4,961.86","$4,961.86","$4,961.86","$4,961.86","$7,442.79","$4,961.86","$4,961.86","$4,961.86","$4,961.86","$4,961.86","$7,442.79","$4,961.86","$64,504.18"
,332,Expense,ENT,Golden 1 Center,"$3,950.80","$3,950.80","$3,950.80","$3,950.80","$5,926.20","$3,950.80","$3,950.80","$3,950.80","$3,950.80","$3,950.80","$5,926.20","$3,950.80","$51,360.40"
,332,Expense,ENT,HOU,$209.87,$209.87,$209.87,$209.87,$314.81,$209.87,$209.87,$209.87,$209.87,$209.87,$314.81,$209.87,"$2,728.32"
,332,Expense,ENT,Levi's Stadium,"$4,294.27","$4,294.27","$4,294.27","$4,294.27","$6,441.41","$4,294.27","$4,294.27","$4,294.27","$4,294.27","$4,294.27","$6,441.41","$4,294.27","$55,825.52"
,332,Expense,ENT,MBenz Stadium,"$1,886.64","$1,886.64","$1,886.64","$1,886.64","$2,829.96","$1,886.64","$1,886.64","$1,886.64","$1,886.64","$1,886.64","$2,829.96","$1,886.64","$24,526.32"
,332,Expense,ENT,NOLA,$341.44,$341.44,$341.44,$341.44,$512.15,$341.44,$341.44,$341.44,$341.44,$341.44,$512.15,$341.44,"$4,438.70"
,332,Expense,ENT,New Orleans Arena,"$2,882.25","$2,882.25","$2,882.25","$2,882.25","$4,323.37","$2,882.25","$2,882.25","$2,882.25","$2,882.25","$2,882.25","$4,323.37","$2,882.25","$37,469.24"
,332,Expense,ENT,SAC,$974.00,$974.00,$974.00,$974.00,"$1,461.00",$974.00,$974.00,$974.00,$974.00,$974.00,"$1,461.00",$974.00,"$12,662.00"
,332,Expense,ENT,SC,$659.88,$659.88,$659.88,$659.88,$989.81,$659.88,$659.88,$659.88,$659.88,$659.88,$989.81,$659.88,"$8,578.42"
,332,Expense,ENT,Safeco Field,"$4,514.50","$4,514.50","$4,514.50","$4,514.50","$6,771.76","$4,514.50","$4,514.50","$4,514.50","$4,514.50","$4,514.50","$6,771.76","$4,514.50","$58,688.52"
,332,Expense,ENT,SunTrust Park,"$3,609.36","$3,609.36","$3,609.36","$3,609.36","$5,414.04","$3,609.36","$3,609.36","$3,609.36","$3,609.36","$3,609.36","$5,414.04","$3,609.36","$46,921.68"
,332,Expense,ENT,Superdome,"$1,163.98","$1,163.98","$1,163.98","$1,163.98","$1,745.98","$1,163.98","$1,163.98","$1,163.98","$1,163.98","$1,163.98","$1,745.98","$1,163.98","$15,131.76"
,332,Expense,ENT,Toyota Center,"$3,220.73","$3,220.73","$3,220.73","$3,220.73","$4,831.09","$3,220.73","$3,220.73","$3,220.73","$3,220.73","$3,220.73","$4,831.09","$3,220.73","$41,869.48"
Total - 7270 - Salaries & wages - enterprise,,,,,"$48,189.88","$48,189.88","$48,189.88","$48,189.88","$72,284.81","$48,189.88","$48,189.88","$48,189.88","$48,189.88","$48,189.88","$72,284.81","$48,189.88","$626,468.42"
7280 - Staff performance bonuses,,,,,,,,,,,,,,,,,
,344,Expense,ENT,Golden 1 Center,$0.00,$0.00,$50.00,$0.00,$0.00,$50.00,$0.00,$0.00,$50.00,$0.00,$0.00,$50.00,$200.00
,344,Expense,COMMON,HQ,$0.00,$0.00,$250.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$0.00,$0.00,$500.00
,344,Expense,DEV,HQ,$0.00,$0.00,$100.00,$0.00,$0.00,$100.00,$0.00,$0.00,$100.00,$0.00,$0.00,$100.00,$400.00
,344,Expense,Pathways,OAK,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,500.00",$0.00,$0.00,$0.00,$0.00,"$2,500.00"
,344,Expense,Pathways,SF,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,"$5,000.00"
Total - 7280 - Staff performance bonuses,,,,,$0.00,$0.00,$400.00,$0.00,$0.00,$150.00,$0.00,"$7,500.00",$150.00,$250.00,$0.00,$150.00,"$8,600.00"
Total - 7200 - Staff,,,,,"$261,076.90","$267,999.98","$272,246.13","$281,970.59","$422,955.84","$282,120.59","$281,970.59","$289,470.59","$272,261.56","$272,361.56","$408,167.28","$272,261.56","$3,584,863.17"
7300 - Youth,,,,,,,,,,,,,,,,,
7310 - Youth enterprise wages,,,,,,,,,,,,,,,,,
,333,Expense,ENT,AA Center,"$28,224.00","$19,824.00","$25,872.00","$9,744.00","$2,016.00","$1,344.00","$3,360.00","$3,360.00","$5,712.00","$23,856.00","$24,864.00","$25,536.00","$173,712.00"
,333,Expense,ENT,AT&T Park,$0.00,$0.00,$0.00,"$53,820.30","$25,716.30","$53,669.40","$45,402.60","$47,877.60","$47,877.60","$1,620.00",$540.00,$0.00,"$276,523.80"
,333,Expense,ENT,Avaya Stadium,$0.00,"$3,500.00","$5,250.00","$5,250.00","$3,500.00","$5,250.00","$3,500.00","$3,500.00","$5,250.00",$0.00,$0.00,$0.00,"$35,000.00"
,333,Expense,ENT,BBVA Compass Stadium,$0.00,$0.00,"$7,650.00","$5,400.00","$5,400.00","$3,150.00","$7,650.00","$3,600.00","$5,400.00","$1,800.00",$0.00,$0.00,"$40,050.00"
,333,Expense,ENT,CenturyLink Field,$0.00,$0.00,"$4,270.00","$8,540.00","$4,270.00","$4,270.00","$8,540.00","$9,607.50","$7,472.50","$7,472.50","$3,202.50","$3,202.50","$60,847.50"
,333,Expense,ENT,Coliseum,$0.00,$0.00,"$5,400.00","$10,800.00","$10,800.00","$13,500.00","$10,800.00","$16,575.00","$19,462.50","$2,887.50","$5,775.00","$5,775.00","$101,775.00"
,333,Expense,ENT,Golden 1 Center,"$9,619.50","$11,830.50","$19,338.00","$2,557.50","$1,056.00","$1,320.00","$1,848.00","$1,320.00","$4,323.00","$9,355.50","$11,830.50","$10,593.00","$84,991.50"
,333,Expense,ENT,HOU,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$787.50,"$2,362.50","$1,575.00","$1,575.00","$6,300.00"
,333,Expense,ENT,Levi's Stadium,$0.00,$0.00,$0.00,$0.00,"$3,836.00","$3,836.00","$3,836.00","$11,961.00","$16,703.00","$12,867.00","$8,578.00","$8,578.00","$70,195.00"
,333,Expense,ENT,MBenz Stadium,"$6,905.63",$0.00,"$4,785.00","$3,588.75","$4,785.00","$3,588.75","$2,392.50","$11,201.25","$6,198.75","$5,002.50","$5,002.50","$6,198.75","$59,649.38"
,333,Expense,ENT,NOLA,$0.00,$0.00,$0.00,"$7,092.00","$9,456.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,548.00"
,333,Expense,ENT,New Orleans Arena,"$2,835.00","$2,835.00","$2,835.00","$2,835.00",$315.00,$315.00,$315.00,$315.00,$315.00,"$1,890.00","$2,835.00","$2,835.00","$20,475.00"
,333,Expense,ENT,SAC,$0.00,$0.00,$0.00,"$1,540.00","$1,914.00","$4,334.00","$3,476.00","$4,246.00","$4,598.00","$1,320.00",$0.00,$0.00,"$21,428.00"
