Internal ID,Name,Type,NEW PREF LOC
296,DAISY-SML-YW,Inventory Item,153 Tigers Hayward
249,FLW-BASE-BR,Inventory Item,153 Tigers Hayward
230,FLW-STEM-GR-LRG,Inventory Item,153 Tigers Hayward
231,FLW-STEM-GR-SML,Inventory Item,153 Tigers Hayward
3778,FRST-PK,Inventory Item,153 Tigers Hayward
3784,FRST-VN,Inventory Item,153 Tigers Hayward
3781,FRST-YW,Inventory Item,153 Tigers Hayward
262,HAM01R-GR,Inventory Item,153 Tigers Hayward
268,HAM01R-PR,Inventory Item,153 Tigers Hayward
252,HAN01R-GR,Inventory Item,153 Tigers Hayward
253,HAN01R-YW,Inventory Item,153 Tigers Hayward
232,KTB01R-B,Inventory Item,153 Tigers Hayward
258,KTB01R-PK2,Inventory Item,153 Tigers Hayward
1464,LABOR -  CHP1 - KS,Inventory Item,153 Tigers Hayward
4315,LABOR - 6pk-books,Inventory Item,153 Tigers Hayward
4316,LABOR - AKCC-Pride,Inventory Item,153 Tigers Hayward
4318,LABOR - AKFC-Pride,Inventory Item,153 Tigers Hayward
4319,LABOR - AKVC-Pride,Inventory Item,153 Tigers Hayward
4333,LABOR - LBBK-Pride,Inventory Item,153 Tigers Hayward
4311,LABOR - Sand & Water Dumper (Pride),Inventory Item,153 Tigers Hayward
4312,LABOR - Sand & Water Rescue Boat  (Pride),Inventory Item,153 Tigers Hayward
4313,LABOR - Sand & Water Scooper (pride),Inventory Item,153 Tigers Hayward
4335,LABOR - SCBK-Pride,Inventory Item,153 Tigers Hayward
332,LID01R-PK2,Inventory Item,153 Tigers Hayward
245,LID01R-Y,Inventory Item,153 Tigers Hayward
324,LID02R-PK2,Inventory Item,153 Tigers Hayward
224,LID02R-Y,Inventory Item,153 Tigers Hayward
325,LILY-LRG-PK,Inventory Item,153 Tigers Hayward
305,LILY-LRG-PR,Inventory Item,153 Tigers Hayward
306,LILY-LRG-YW,Inventory Item,153 Tigers Hayward
346,LILY-PLG-PK,Inventory Item,153 Tigers Hayward
333,LILY-PLG-PR,Inventory Item,153 Tigers Hayward
334,LILY-PLG-YW,Inventory Item,153 Tigers Hayward
326,LILY-SML-PK,Inventory Item,153 Tigers Hayward
307,LILY-SML-PR,Inventory Item,153 Tigers Hayward
308,LILY-SML-YW,Inventory Item,153 Tigers Hayward
3786,LNR-PK,Inventory Item,153 Tigers Hayward
3783,LNR-VN,Inventory Item,153 Tigers Hayward
3780,LNR-YW,Inventory Item,153 Tigers Hayward
309,LTC01R,Inventory Item,153 Tigers Hayward
221,MES01R,Inventory Item,153 Tigers Hayward
2159,MES02R,Inventory Item,153 Tigers Hayward
4080,MES03R,Inventory Item,153 Tigers Hayward
298,MSH01R,Inventory Item,153 Tigers Hayward
362,NAI01R,Inventory Item,153 Tigers Hayward
363,NUT01R,Inventory Item,153 Tigers Hayward
255,ONI01R,Inventory Item,153 Tigers Hayward
283,PEP01R-G,Inventory Item,153 Tigers Hayward
246,PEP01R-R,Inventory Item,153 Tigers Hayward
352,PETUNIA-PK,Inventory Item,153 Tigers Hayward
327,PETUNIA-PLG-PK,Inventory Item,153 Tigers Hayward
311,PETUNIA-PLG-PR,Inventory Item,153 Tigers Hayward
312,PETUNIA-PLG-YW,Inventory Item,153 Tigers Hayward
347,PETUNIA-PR,Inventory Item,153 Tigers Hayward
348,PETUNIA-YW,Inventory Item,153 Tigers Hayward
3942,PKG10x10x2,Inventory Item,153 Tigers Hayward
1766,PKG12x9x6,Inventory Item,153 Tigers Hayward
2253,PKG15x11x11,Inventory Item,153 Tigers Hayward
2251,PKG15x15x10,Inventory Item,153 Tigers Hayward
1769,PKG16x12x10,Inventory Item,153 Tigers Hayward
1764,PKG18x9x9,Inventory Item,153 Tigers Hayward
2252,PKG20x15x9,Inventory Item,153 Tigers Hayward
4079,PKG20x16x10,Inventory Item,153 Tigers Hayward
1765,PKG24x12x8,Inventory Item,153 Tigers Hayward
3801,PKGBKTGMCT,Inventory Item,153 Tigers Hayward
3800,PKGBKTGRTL,Inventory Item,153 Tigers Hayward
1759,PKGCHP1MCT,Inventory Item,153 Tigers Hayward
1757,PKGCHP1RTL,Inventory Item,153 Tigers Hayward
1761,PKGCHP1THRMB,Inventory Item,153 Tigers Hayward
1758,PKGCHP1THRMT,Inventory Item,153 Tigers Hayward
4254,PKGCLSDBIG,Inventory Item,153 Tigers Hayward
4255,PKGCLSDBIGMCT,Inventory Item,153 Tigers Hayward
4265,PKGCLSDMID,Inventory Item,153 Tigers Hayward
4267,PKGCLSDMIDMCT,Inventory Item,153 Tigers Hayward
4264,PKGCLSDSHRT,Inventory Item,153 Tigers Hayward
4266,PKGCLSDSHRTMCT,Inventory Item,153 Tigers Hayward
4225,PKGCMDSLV,Inventory Item,153 Tigers Hayward
1469,PKGCSCARTL,Inventory Item,153 Tigers Hayward
3951,PKGCST-INS-2 qty,Inventory Item,153 Tigers Hayward
4228,PKGD4PKMCT,Inventory Item,153 Tigers Hayward
4227,PKGD4PKRTL,Inventory Item,153 Tigers Hayward
4229,PKGD4PKSLV,Inventory Item,153 Tigers Hayward
1458,PKGDKDGTHRM,Inventory Item,153 Tigers Hayward
4221,PKGDSTMCT,Inventory Item,153 Tigers Hayward
4220,PKGDSTRTL,Inventory Item,153 Tigers Hayward
441,PKGFLWAMCT,Inventory Item,153 Tigers Hayward
413,PKGFLWARIS01,Inventory Item,153 Tigers Hayward
411,PKGFLWARIS02,Inventory Item,153 Tigers Hayward
451,PKGFLWARTL,Inventory Item,153 Tigers Hayward
4256,PKGFLWSLVA,Inventory Item,153 Tigers Hayward
4223,PKGFMDSLV,Inventory Item,153 Tigers Hayward
4222,PKGMMDSLV,Inventory Item,153 Tigers Hayward
4226,PKGMTDSLV,Inventory Item,153 Tigers Hayward
4224,PKGRMDSLV,Inventory Item,153 Tigers Hayward
1036,PKGSLDA-OVSP,Inventory Item,153 Tigers Hayward
452,PKGSLDAMCT,Inventory Item,153 Tigers Hayward
453,PKGSLDARTL,Inventory Item,153 Tigers Hayward
4263,PKGSLDSLVA,Inventory Item,153 Tigers Hayward
2166,PKGSNWHDR1,Inventory Item,153 Tigers Hayward
2151,PKGSNWHDR2,Inventory Item,153 Tigers Hayward
2156,PKGSNWTAG,Inventory Item,153 Tigers Hayward
419,PKGSTPMCT02,Inventory Item,153 Tigers Hayward
412,PKGSTPRIS,Inventory Item,153 Tigers Hayward
431,PKGSTPRIS02,Inventory Item,153 Tigers Hayward
1034,PKGSTPRTL02,Inventory Item,153 Tigers Hayward
4259,PKGSTPSLVA,Inventory Item,153 Tigers Hayward
4260,PKGSTSSLVA,Inventory Item,153 Tigers Hayward
420,PKGTEARTL02,Inventory Item,153 Tigers Hayward
4262,PKGTLSBSLVA,Inventory Item,153 Tigers Hayward
429,PKGTLSMCT02,Inventory Item,153 Tigers Hayward
4261,PKGTLSPSLVA,Inventory Item,153 Tigers Hayward
415,PKGTLSRTL02,Inventory Item,153 Tigers Hayward
313,PKL01R,Inventory Item,153 Tigers Hayward
273,PLI01R-GR,Inventory Item,153 Tigers Hayward
269,PLI01R-YW,Inventory Item,153 Tigers Hayward
299,PPR01R,Inventory Item,153 Tigers Hayward
259,SAU01R-B,Inventory Item,153 Tigers Hayward
1038,SAU01R-LV2,Inventory Item,153 Tigers Hayward
288,SAU01R-P,Inventory Item,153 Tigers Hayward
284,SAW01R-GR,Inventory Item,153 Tigers Hayward
279,SAW01R-YW,Inventory Item,153 Tigers Hayward
247,SCF01R-GR,Inventory Item,153 Tigers Hayward
250,SCF01R-PR,Inventory Item,153 Tigers Hayward
238,SCP01R-GR,Inventory Item,153 Tigers Hayward
239,SCP01R-PR,Inventory Item,153 Tigers Hayward
1851,SERVICES:Assembly:Assembly-CHP1 - KS,Inventory Item,153 Tigers Hayward
314,SLDA-OIL,Inventory Item,153 Tigers Hayward
337,SLDA-PEP,Inventory Item,153 Tigers Hayward
351,SLDA-SAL,Inventory Item,153 Tigers Hayward
343,SLDA-VIN,Inventory Item,153 Tigers Hayward
285,SPK01R-SLDA,Inventory Item,153 Tigers Hayward
1581,SPN01R-PK,Inventory Item,153 Tigers Hayward
354,SPN01R-PK2,Inventory Item,153 Tigers Hayward
286,SPN01R-SLDA,Inventory Item,153 Tigers Hayward
301,STPA-OP,Inventory Item,153 Tigers Hayward
290,STSA-OP,Inventory Item,153 Tigers Hayward
1583,SUG01R-PK,Inventory Item,153 Tigers Hayward
223,SUG02R-PK2,Inventory Item,153 Tigers Hayward
222,SUG02R-Y,Inventory Item,153 Tigers Hayward
1037,TBX01R-BL,Inventory Item,153 Tigers Hayward
274,TBX01R-PK,Inventory Item,153 Tigers Hayward
4300,TEARTLINSB,Inventory Item,153 Tigers Hayward
4301,TEARTLINSP,Inventory Item,153 Tigers Hayward
280,TOM01R-G,Inventory Item,153 Tigers Hayward
241,TOM01R-R,Inventory Item,153 Tigers Hayward
275,WRE01R-GR,Inventory Item,153 Tigers Hayward
272,WRE01R-YW,Inventory Item,153 Tigers Hayward
